@attribute Weighted_avg_area_under_ROC numeric
@attribute Elapsed_Time_training numeric
@attribute Elapsed_Time_testing numeric
@attribute UserCPU_Time_training numeric
@attribute UserCPU_Time_testing numeric
@attribute Serialized_Model_Size numeric
@attribute Serialized_Train_Set_Size numeric
@attribute Serialized_Test_Set_Size numeric
@attribute Summary string
@attribute measureOutOfBagError numeric

@data

DepthMaps,4,10,weka.classifiers.trees.RandomForest,'-I 100 -K 0 -S 1',-2260823972777004705,20150223.1642,27,3,2,1,0,66.666667,33.333333,0,0.5,0.169333,0.260538,61.575758,71.177682,5.034216,2.578396,2.45582,1.678072,0.859465,0.818607,2.45582,0.818607,130.23438,0,0,0,0,1,2,1,1,0,0,0,1,0.666667,0.166667,0.833333,0.333333,0.5,0.666667,0.555556,1,0.011,0,0,0,101530,8581,3853,?,0.37037
DepthMaps,5,1,weka.classifiers.trees.RandomForest,'-I 100 -K 0 -S 1',-2260823972777004705,20150223.1642,27,3,3,0,0,100,0,0,1,0.142667,0.21915,51.878788,59.870674,5.034216,1.983019,3.051197,1.678072,0.661006,1.017066,3.051197,1.017066,161.807773,1,1,0,0,1,2,0,0,1,1,1,1,1,0,1,0,1,1,1,1,0.011,0,0.0156,0,100831,8581,3853,?,0.481481
DepthMaps,5,2,weka.classifiers.trees.RandomForest,'-I 100 -K 0 -S 1',-2260823972777004705,20150223.1642,27,3,2,1,0,66.666667,33.333333,0,0.5,0.193333,0.291685,70.30303,79.686851,5.034216,2.980284,2.053932,1.678072,0.993428,0.684644,2.053932,0.684644,108.921893,1,1,0.5,1,0.5,1,0,0,0.5,1,0.666667,0.75,0.666667,0.166667,0.833333,0.333333,0.5,0.666667,0.555556,0.75,0.01,0,0.0156,0,100340,8581,3853,?,0.444444
DepthMaps,5,3,weka.classifiers.trees.RandomForest,'-I 100 -K 0 -S 1',-2260823972777004705,20150223.1642,27,3,1,2,0,33.333333,66.666667,0,0,0.204,0.336888,74.181818,92.036077,5.034216,3.466257,1.567958,1.678072,1.155419,0.522653,1.629302,0.543101,86.403404,0,0,0,0,1,2,1,1,0,0,0,1,0.333333,0.333333,0.666667,0.666667,0.166667,0.333333,0.222222,0.833333,0.01,0,0.0156,0,93444,8581,3853,?,0.37037
DepthMaps,5,4,weka.classifiers.trees.RandomForest,'-I 100 -K 0 -S 1',-2260823972777004705,20150223.1642,27,3,2,1,0,66.666667,33.333333,0,0.5,0.185333,0.277008,67.393939,75.677183,5.034216,2.906732,2.127484,1.678072,0.968911,0.709161,2.127484,0.709161,112.82242,0,0,0,0,1,2,1,1,0,0,0,1,0.666667,0.166667,0.833333,0.333333,0.5,0.666667,0.555556,1,0.011,0,0.0156,0,99518,8581,3853,?,0.37037
DepthMaps,5,5,weka.classifiers.trees.RandomForest,'-I 100 -K 0 -S 1',-2260823972777004705,20150223.1642,27,3,2,1,0,66.666667,33.333333,0,0.5,0.198667,0.325413,72.242424,88.90112,5.034216,3.930072,1.104143,1.678072,1.310024,0.368048,1.939596,0.646532,102.858542,1,1,0.5,1,0.5,1,0,0,0.5,1,0.666667,0.5,0.666667,0.166667,0.833333,0.333333,0.5,0.666667,0.555556,0.5,0.01,0,0,0,96487,8581,3853,?,0.407407
DepthMaps,5,6,weka.classifiers.trees.RandomForest,'-I 100 -K 0 -S 1',-2260823972777004705,20150223.1642,27,3,1,2,0,33.333333,66.666667,0,0,0.205333,0.318161,74.666667,86.920135,5.034216,3.495931,1.538285,1.678072,1.16531,0.512762,1.538285,0.512762,81.576658,0,0,0.5,1,0.5,1,1,1,0,0,0,0.5,0.333333,0.333333,0.666667,0.666667,0.333333,0.333333,0.333333,0.666667,0.01,0,0.0156,0,94291,8581,3853,?,0.259259
DepthMaps,5,7,weka.classifiers.trees.RandomForest,'-I 100 -K 0 -S 1',-2260823972777004705,20150223.1642,27,3,2,1,0,66.666667,33.333333,0,0.5,0.210667,0.313794,76.606061,85.726983,5.034216,3.446966,1.58725,1.678072,1.148989,0.529083,1.648594,0.549531,87.426441,1,1,0.5,1,0.5,1,0,0,0.5,1,0.666667,1,0.666667,0.166667,0.833333,0.333333,0.5,0.666667,0.555556,0.833333,0.011,0,0.0156,0,98009,8581,3853,?,0.296296
DepthMaps,5,8,weka.classifiers.trees.RandomForest,'-I 100 -K 0 -S 1',-2260823972777004705,20150223.1642,27,3,2,1,0,66.666667,33.333333,0,0.5,0.204,0.305636,74.181818,83.498247,5.034216,3.289122,1.745094,1.678072,1.096374,0.581698,1.777992,0.592664,94.288561,0,0,0,0,1,2,1,1,0,0,0,0.25,0.666667,0.166667,0.833333,0.333333,0.5,0.666667,0.555556,0.75,0.01,0,0.0156,0,96475,8581,3853,?,0.37037
DepthMaps,5,9,weka.classifiers.trees.RandomForest,'-I 100 -K 0 -S 1',-2260823972777004705,20150223.1642,27,3,2,1,0,66.666667,33.333333,0,0.5,0.192,0.300355,69.818182,82.055612,5.034216,3.076067,1.958148,1.678072,1.025356,0.652716,1.958148,0.652716,103.842404,1,1,0.5,1,0.5,1,0,0,0.5,1,0.666667,0.5,0.666667,0.166667,0.833333,0.333333,0.5,0.666667,0.555556,0.666667,0.011,0,0,0,105530,8581,3853,?,0.333333
DepthMaps,5,10,weka.classifiers.trees.RandomForest,'-I 100 -K 0 -S 1',-2260823972777004705,20150223.1642,27,3,3,0,0,100,0,0,1,0.197333,0.273715,71.757576,74.777649,5.034216,2.962362,2.071854,1.678072,0.987454,0.690618,2.071854,0.690618,109.872308,1,1,0,0,1,2,0,0,1,1,1,1,1,0,1,0,1,1,1,1,0.011,0,0.0156,0,102401,8581,3853,?,0.444444
DepthMaps,6,1,weka.classifiers.trees.RandomForest,'-I 100 -K 0 -S 1',-2260823972777004705,20150223.1642,27,3,3,0,0,100,0,0,1,0.184,0.266308,66.909091,72.754069,5.034216,2.790459,2.243756,1.678072,0.930153,0.747919,2.243756,0.747919,118.988463,1,1,0,0,1,2,0,0,1,1,1,1,1,0,1,0,1,1,1,1,0.011,0,0.0156,0,101174,8581,3853,?,0.444444
